Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
,,,197,254,,,,,,
217,Northwestern St.,Slnd,101.3,106.1,0.3693,53.40%,46.10%,0,2.42,130
,,,220,223,,,,,,
218,Northern Arizona,BSky,103.3,108.3,0.3685,48.50%,37.70%,0,2.56,159
,,,169,289,,,,,,
219,Rice,Amer,102.6,107.5,0.3679,17.90%,16.60%,6.8,2.39,241
,,,196,258,,,,,,
220,Appalachian St.,SB,97,101.7,0.3673,23.80%,18.50%,4.2,2.26,192
,,,316,118,,,,,,
221,Louisiana,SB,103.1,108.2,0.3651,14.10%,13.40%,33.7,1.83,336
,,,177,287,,,,,,
222,Montana,BSky,101.3,106.4,0.3643,33.00%,39.70%,12.6,1.86,154
,,,219,230,,,,,,
223,Little Rock,OVC,100.1,105.1,0.3624,35.30%,27.10%,22.8,1.76,141
,,,247,196,,,,,,
224,Pacific,WCC,102.9,108.1,0.3622,0.00%,0.00%,8.7,2.55,408
,,,184,281,,,,,,
225,Indiana St.,MVC,103.2,108.5,0.362,41.00%,33.30%,0,1.85,54
,,,174,292,,,,,,
226,SIU Edwardsville,OVC,99.3,104.4,0.3581,56.20%,47.30%,7,2.5,147
,,,270,172,,,,,,
227,Cal St. Bakersfield,BW,103.2,108.6,0.3577,22.40%,19.60%,0,2.29,215
,,,173,294,,,,,,
228,Cal Poly,BW,103.3,108.7,0.3576,44.10%,35.60%,2.1,1.61,57
,,,172,297,,,,,,
229,Lipscomb,ASun,98.8,104.1,0.356,29.80%,24.10%,0,2.39,0
,,,283,162,,,,,,
230,Merrimack,MAAC,98.2,103.4,0.3555,13.30%,11.60%,0,1.97,153
,,,296,148,,,,,,
231,Bryant,AE,99.2,104.5,0.3549,12.70%,8.70%,31.1,2.15,151
,,,273,174,,,,,,
232,Northern Colorado,BSky,100.8,106.3,0.354,17.10%,16.20%,0,1.86,112
,,,230,227,,,,,,
233,Samford,SC,101.3,106.8,0.3534,9.90%,7.80%,4.3,1.88,184
,,,224,241,,,,,,
234,North Dakota St.,Sum,100.3,105.7,0.3519,19.60%,15.00%,0,1.82,145
,,,243,211,,,,,,
235,Hofstra,CAA,97.8,103.3,0.3486,27.10%,30.20%,0,2.51,170
,,,301,147,,,,,,
236,Wofford,SC,100.7,106.5,0.3447,17.50%,10.00%,0,1.3,124
,,,235,232,,,,,,
